gait_percentage,ShankAngles,ShankVelocity,ShankAngularVelocity,ShankIntegral,ThighAngles,ThighVelocity,ThighAngularVelocity,ThighIntegral
65,123.55019145807164,0.5,146.55926999414817,104.842307701631,85.9849068309013,0.5,-174.92207677235854,82.38623075444013
66,124.94861796943144,0.5,139.84265113598013,104.842307701631,84.13772879810185,0.5,-184.7178032799448,82.38623075444013
67,126.242125852829,0.5,129.35078833975666,104.842307701631,82.26352697429263,0.5,-187.42018238092157,82.38623075444013
68,127.41163995592112,0.5,116.95141030921121,104.842307701631,80.39193557758144,0.5,-187.1591396711196,82.38623075444013
69,128.4358359236799,0.5,102.41959677587715,104.842307701631,78.58386158225856,0.5,-180.80739953228715,82.38623075444013
70,129.26687986201455,0.5,83.1043938334659,104.842307701631,76.86808673580153,0.5,-171.57748464570375,82.38623075444013
71,129.9091321902124,0.5,64.22523281978556,104.842307701631,75.25481639146531,0.5,-161.32703443362146,82.38623075444013
72,130.39045669651296,0.5,48.132450630055246,104.842307701631,73.77244412882054,0.5,-148.23722626447733,82.38623075444013
73,130.6464085661113,0.5,25.595186959833427,104.842307701631,72.44039853420307,0.5,-133.2045594617469,82.38623075444013
74,130.6944118207341,0.5,4.800325462281307,104.842307701631,71.23853586758756,0.5,-120.18626666155114,82.38623075444013
75,130.54268222971217,0.5,-15.172959102193317,104.842307701631,70.1595655756556,0.5,-107.89702919319524,82.38623075444013
76,130.17461473710148,0.5,-36.80674926106917,104.842307701631,69.19995114791882,0.5,-95.96144277367813,82.38623075444013
77,129.5859214512073,0.5,-58.869328589418046,104.842307701631,68.34603387546667,0.5,-85.39172724521507,82.38623075444013
78,128.7786897275971,0.5,-80.72317236101867,104.842307701631,67.60580801999339,0.5,-74.02258554732839,82.38623075444013
79,127.778615572301,0.5,-100.00741552961045,104.842307701631,66.9738389366639,0.5,-63.19690833294942,82.38623075444013
80,126.5955438322026,0.5,-118.30717400984128,104.842307701631,66.42066082767735,0.5,-55.31781089865433,82.38623075444013
81,125.24688393299628,0.5,-134.86598992063108,104.842307701631,65.98258084296228,0.5,-43.8079984715074,82.38623075444013
82,123.75505533599984,0.5,-149.18285969964415,104.842307701631,65.6257287210953,0.5,-35.68521218669787,82.38623075444013
83,122.11139070658676,0.5,-164.3664629413081,104.842307701631,65.38289256846511,0.5,-24.283615263018987,82.38623075444013
84,120.32279633790532,0.5,-178.85943686814443,104.842307701631,65.274189967719,0.5,-10.870260074611338,82.38623075444013
85,118.39903734607026,0.5,-192.3758991835058,104.842307701631,65.30116673555742,0.5,2.6976767838419846,82.38623075444013
86,116.3502035566974,0.5,-204.8833789372864,104.842307701631,65.45215766347928,0.5,15.099092792186752,82.38623075444013
87,114.18041965904304,0.5,-216.9783897654355,104.842307701631,65.73265379251961,0.5,28.049612904032983,82.38623075444013
88,111.90557622292178,0.5,-227.48434361212588,104.842307701631,66.16376319273212,0.5,43.1109400212506,82.38623075444013
89,109.52279659283865,0.5,-238.27796300831352,104.842307701631,66.7170703851811,0.5,55.33071924489832,82.38623075444013
90,107.06602359989856,0.5,-245.67729929400883,104.842307701631,67.40596850526885,0.5,68.88981200877424,82.38623075444013
91,104.5652516790107,0.5,-250.0771920887857,104.842307701631,68.21087519045525,0.5,80.49066851864097,82.38623075444013
92,102.09665282900596,0.5,-246.85988500047387,104.842307701631,69.11603982749696,0.5,90.51646370417075,82.38623075444013
93,99.7041414941506,0.5,-239.25113348553566,104.842307701631,70.12531434309464,0.5,100.92745155976814,82.38623075444013
94,97.45275170694713,0.5,-225.1389787203479,104.842307701631,71.1814691909063,0.5,105.61548478116549,82.38623075444013
95,95.40045962653082,0.5,-205.22920804163078,104.842307701631,72.24228752668414,0.5,106.08183357778387,82.38623075444013
96,93.62693110876072,0.5,-177.3528517770103,104.842307701631,73.29147713034766,0.5,104.91896036635211,82.38623075444013
